repeat,fold,n_train,n_valid,variant,r2,mse,rmse,mae,max_error,negative_predictions,gate_value
1,0,792,198,svr,0.8220736875079195,0.3626482570404901,0.6022028371242452,0.4409187148826877,2.7333370376273294,0,
1,0,792,198,mlp,0.8899606412909502,0.2242815077925386,0.4735836861554023,0.32856135022941263,1.8882302465438845,1,
1,0,792,198,pinn,0.8781625006125099,0.24832840166353534,0.4983255980416171,0.35652757212248715,2.1901236000061037,1,
1,0,792,198,hybrid_gated,0.753352923490622,0.5027144729042794,0.709023605322333,0.5164337168895836,2.3559086742401125,6,0.10162681341171265
1,0,792,198,hybrid_ungated,0.811574673749023,0.38404727884327955,0.6197154821716814,0.4269375575118595,2.9757729263305666,5,
1,0,792,198,stack_ridge,0.8993446431458825,0.20515509602639015,0.4529404994327513,0.3273773268785258,1.7642890925675228,0,
1,0,792,198,stack_nnls,0.8985189841100873,0.206837948922328,0.4547944029144686,0.32924469066455136,1.6892082241602355,0,
1,1,792,198,rf,0.8061794695104959,0.45948083783181826,0.6778501588343977,0.4726224747474748,2.8771299999999993,0,
1,1,792,198,gbr,0.8173174652812478,0.4330765368241421,0.6580855087480214,0.4825272751551463,2.6792116863581508,0,
1,1,792,198,svr,0.7874682201642915,0.5038386801344924,0.7098159480699855,0.48920364930483945,3.096970342388241,0,
1,1,792,198,mlp,0.8775804935806231,0.2902139274640929,0.5387150707601309,0.36184477037582735,3.1889934434890748,0,
1,1,792,198,pinn,0.8794638100031993,0.2857492414704975,0.534555180940656,0.3356915344084152,2.9538619413375855,1,
1,1,792,198,hybrid_gated,0.7273478783173135,0.6463630297109717,0.803967057603091,0.5349075196608148,3.5976345434188843,3,0.0785493403673172
1,1,792,198,hybrid_ungated,0.8201528124429127,0.42635491819016363,0.6529585884190234,0.44128587631264116,3.98439697265625,0,
1,1,792,198,stack_ridge,0.8856863712791674,0.2709977202497026,0.5205744137486038,0.3448235442436236,2.8480264580166152,0,
1,1,792,198,stack_nnls,0.8877909133858559,0.2660085853629524,0.5157602014143321,0.33890097021138726,2.875852728692187,0,
1,2,792,198,rf,0.822674437431347,0.4283974133186866,0.6545207508694332,0.4549889393939392,3.271,0,
1,2,792,198,gbr,0.8068137773847961,0.4667148766276716,0.6831653362310413,0.4878075015473143,2.9230789953313394,0,
1,2,792,198,svr,0.7209627705080046,0.6741206716189224,0.8210485196496748,0.556914382594091,3.8222114631681245,0,
1,2,792,198,mlp,0.8549479008542816,0.350428574258229,0.5919700788538463,0.3651348696140328,4.23784245300293,0,
1,2,792,198,pinn,0.8272285223029535,0.41739528733769815,0.6460613649938357,0.3781511779397425,3.9967507247924807,0,
1,2,792,198,hybrid_gated,0.6935881553948482,0.740254477344369,0.8603804259421346,0.4941458883381853,4.330402267456055,3,0.08118367940187454
1,2,792,198,hybrid_ungated,0.7831249907048647,0.5239441603887863,0.7238398720634187,0.4406595601168546,3.7068866615295413,0,
1,2,792,198,stack_ridge,0.858410621704184,0.34206305360991,0.5848615679029612,0.37697846339159097,3.7791182167141404,0,
1,2,792,198,stack_nnls,0.85153730779584,0.35866816037855137,0.5988891052428249,0.38157353934006755,3.7869875659732513,0,
1,3,792,198,rf,0.8572027970306548,0.39418260889797985,0.6278396362909718,0.4691745454545455,2.136660000000001,0,
1,3,792,198,gbr,0.8665312425403225,0.36843202757354854,0.6069860192570736,0.47070001005133105,2.099203652096106,0,
1,3,792,198,svr,0.7976922704692423,0.5584576376035909,0.7473002325729539,0.5239725817037668,3.881240824314591,0,
1,3,792,198,mlp,0.8952891437285988,0.28904766792850306,0.537631535466906,0.37422391766008706,2.4625076370239256,1,
1,3,792,198,pinn,0.8946490548787954,0.2908145925425388,0.5392722805249114,0.3912492735981941,2.471325309753418,0,
1,3,792,198,hybrid_gated,0.8412612336895275,0.4381882819577454,0.6619579155488251,0.4767088518853139,2.772853286743164,3,0.08226010203361511
1,3,792,198,hybrid_ungated,0.8819129518409602,0.325971796032898,0.5709393978636419,0.4002239751888044,3.113699825286865,1,
1,3,792,198,stack_ridge,0.9158242841974482,0.2323617169730403,0.48203912390286363,0.35269558655436184,2.10416079182664,0,
1,3,792,198,stack_nnls,0.9126107282417735,0.24123253407664616,0.4911542874460592,0.3564795208481936,2.209736009791505,0,
1,4,792,198,rf,0.8019488026938039,0.4590341829060605,0.6775206143772015,0.4540132323232323,3.150569999999999,0,
1,4,792,198,gbr,0.807599439848158,0.44593738952976325,0.6677854367457883,0.48746676306188574,2.578669120989452,0,
1,4,792,198,svr,0.7740566362751031,0.5236813953220169,0.7236583415687384,0.48842530233289805,3.2719777163328247,0,
1,4,792,198,mlp,0.8641686911048243,0.3148237159877397,0.5610915397577652,0.3863638189188158,2.663071090698242,0,
1,4,792,198,pinn,0.8489440489304849,0.3501107088238914,0.5917015369456897,0.4058529122194859,3.26197798538208,0,
1,4,792,198,hybrid_gated,0.3534292951545297,1.4985925822547432,1.2241701606618025,0.9092759616001689,4.530632071018219,37,0.07786836475133896
1,4,792,198,hybrid_ungated,0.8081470015253189,0.44466827563151357,0.6668345189261827,0.45418393341700236,2.582439414978027,6,
1,4,792,198,stack_ridge,0.8631591430097343,0.3171636012862747,0.5631727987805116,0.39509075420255857,2.5186351352069494,0,
1,4,792,198,stack_nnls,0.8646408066616336,0.3137294677236299,0.5601155842534913,0.3928866569719629,2.458068046967556,0,
2,0,792,198,rf,0.855608260906767,0.4042690417984848,0.6358215487056763,0.4517232828282829,2.259870000000004,0,
2,0,792,198,gbr,0.8572687504916208,0.39961999097604306,0.6321550371357038,0.47499411366392835,2.4065283118953333,0,
2,0,792,198,svr,0.8074546511360432,0.5390898688305559,0.7342273958594543,0.5051645549704855,3.078684955578363,0,
2,0,792,198,mlp,0.892099602706347,0.30210031749403066,0.5496365321683327,0.3863704267698105,2.032748401641846,1,
2,0,792,198,pinn,0.8872835254873234,0.3155844055366646,0.5617689965961673,0.3866995504335924,2.0697023277282716,1,
2,0,792,198,hybrid_gated,0.7647809279406976,0.6585680695537758,0.811522069665253,0.5937540700387474,2.5908374290466307,6,0.09372829645872116
2,0,792,198,hybrid_ungated,0.7710169251086931,0.6411084793057783,0.8006924998435906,0.5345795290903612,3.667511734008789,5,
2,0,792,198,stack_ridge,0.9127991478611737,0.24414558034661715,0.49411089883407466,0.3528523437952033,1.8934238013715476,0,
2,0,792,198,stack_nnls,0.9135295745051065,0.24210052651388936,0.4920371190407177,0.3543880847489897,1.952350024729804,0,
2,1,792,198,rf,0.8679082474602638,0.3291914203959594,0.573752054807614,0.40562797979797965,2.572370000000003,0,
2,1,792,198,gbr,0.8519776350297812,0.36889277065392145,0.6073654341942102,0.449957797468711,2.261035104245231,0,
2,1,792,198,svr,0.8033482370281301,0.49008414175294807,0.7000600986722126,0.47179192643400353,3.6968329671895415,0,
2,1,792,198,mlp,0.8858034403669066,0.28459405638244706,0.5334735760864329,0.3785622702581112,2.074443998336792,2,
2,1,792,198,pinn,0.9076237892296315,0.2302146458776546,0.47980688394150267,0.3294062026943823,1.684572500228882,1,
2,1,792,198,hybrid_gated,0.8019650891608949,0.49353114281303184,0.7025177170812362,0.4733506649311144,2.224761028289795,2,0.0800798088312149
2,1,792,198,hybrid_ungated,0.799421918141853,0.49986908643155104,0.7070142052544284,0.49910919427871697,2.8132576169967654,4,
2,1,792,198,stack_ridge,0.9168849912130772,0.20713441431976637,0.45512021963407245,0.32263956912238806,1.791865014413914,0,
2,1,792,198,stack_nnls,0.917471898967446,0.2056717567837181,0.4535104814485748,0.3204504124276775,1.8047674581346698,0,
2,2,792,198,rf,0.8094277983532896,0.40556809527929294,0.6368422844624035,0.43450550505050517,2.9783099999999996,0,
2,2,792,198,gbr,0.7831541866419602,0.4614825390743305,0.6793250614207682,0.47231954910645124,3.278866325159111,0,
2,2,792,198,svr,0.7592997053329495,0.5122486868376129,0.7157155069143136,0.4747818436130589,3.929673485672998,0,
2,2,792,198,mlp,0.8558848383753684,0.30670009107269086,0.5538051020645177,0.3809476181828614,3.2578824882507327,1,
2,2,792,198,pinn,0.8611057676043936,0.2955891194582204,0.5436810824906642,0.3492289225808297,3.4314326171875003,0,
2,2,792,198,hybrid_gated,0.8375910446014417,0.34563220725864924,0.5879049304595508,0.39920799220692027,3.246521127700806,3,0.07945135980844498
2,2,792,198,hybrid_ungated,0.8263301376794631,0.3695972164887513,0.6079450768685863,0.4024773684559446,3.0415457611083987,3,
2,2,792,198,stack_ridge,0.8681493479319662,0.2805992550776006,0.5297162023929423,0.35312238755380443,3.3033859879203256,0,
2,2,792,198,stack_nnls,0.8647674108605268,0.2877965575412667,0.5364667347946811,0.35435527517970944,3.39722592176184,0,
2,3,792,198,rf,0.8469681946373924,0.4300051680176768,0.6557477929948958,0.45066661616161613,3.1602900000000016,0,
2,3,792,198,gbr,0.8439210620808495,0.4385673276539933,0.6622441601509169,0.4850326786677487,2.048775238720273,0,
2,3,792,198,svr,0.8003052907760051,0.5611235964225696,0.7490818355978001,0.5178863792878339,3.463067972678222,0,
2,3,792,198,mlp,0.8914684771686443,0.30496350480692136,0.5522350086755831,0.3817000033993914,2.5750344886779786,1,
2,3,792,198,pinn,0.880776180160397,0.3350078668964357,0.578798641063052,0.39798828423805904,3.016950954437256,0,
2,3,792,198,hybrid_gated,0.7543913628750571,0.6901374719017042,0.8307451305314429,0.5395111390797779,4.676015077590942,1,0.07703220099210739
2,3,792,198,hybrid_ungated,0.8510098920744129,0.4186483733868839,0.6470304269405605,0.40439426940378514,3.8216275558471677,4,
2,3,792,198,stack_ridge,0.9065499528253135,0.26258595813723334,0.512431417984137,0.3592898085864432,2.5432299255807385,0,
2,3,792,198,stack_nnls,0.901616144012175,0.2764495029254139,0.5257846545168601,0.36714531511915305,2.5400024838310022,0,
2,4,792,198,rf,0.7101184917720685,0.49494319360151495,0.7035219922657109,0.45384843434343414,3.080470000000001,0,
2,4,792,198,gbr,0.6872640626841191,0.5339648069147547,0.7307289558480317,0.49009864671653053,3.197843603836956,0,
2,4,792,198,svr,0.7072594056547797,0.4998247923703471,0.7069828798283216,0.48476492586954106,3.1794249271832777,0,
2,4,792,198,mlp,0.760797439129031,0.4084140451692689,0.6390728011496569,0.43010895918354847,2.5161952095031737,1,
2,4,792,198,pinn,0.8127692439160041,0.3196774741622175,0.5654002778229044,0.3885585439223231,1.9870563106536865,1,
2,4,792,198,hybrid_gated,-0.24043252425452577,2.1179123799748716,1.455304909623709,1.0688541500332078,3.719117941260338,49,0.06773536652326584
2,4,792,198,hybrid_ungated,0.6835015223016865,0.540388961957689,0.7351115302848195,0.5027077243279929,2.910589256286621,2,
2,4,792,198,stack_ridge,0.7793292722867879,0.3767728247876686,0.6138182343232145,0.39552283385654324,2.739754271715517,2,
2,4,792,198,stack_nnls,0.7816526329169655,0.37280592280341374,0.6105783510765951,0.3929406679970026,2.802305991920756,0,
3,0,792,198,rf,0.8049534231771913,0.40311809560555545,0.6349158177314181,0.45865146464646467,2.5243499999999983,0,
3,0,792,198,gbr,0.8137658527942278,0.38490475445009903,0.6204069265007436,0.467703380784784,2.5557960160679283,0,
3,0,792,198,svr,0.7388382077604487,0.539763609530984,0.7346860618869695,0.5347143804488202,2.674060094150125,0,
3,0,792,198,mlp,0.8284372623731845,0.35458219875258984,0.5954680501526424,0.41784369482897743,2.8217973861694334,3,
3,0,792,198,pinn,0.8337026443792939,0.34369981977668584,0.5862591745778363,0.41105939635062455,2.8292832260131835,1,
3,0,792,198,hybrid_gated,0.7696638100746245,0.4760539136050028,0.6899666032533769,0.4871438646003453,3.016131866455078,3,0.08617113530635834
3,0,792,198,hybrid_ungated,0.821508603179496,0.36890220346508973,0.6073731994952443,0.41845941624015265,3.1569647674560546,6,
3,0,792,198,stack_ridge,0.8485874779563385,0.3129361639221415,0.559406975217633,0.40099356684237925,2.2657505377851557,1,
3,0,792,198,stack_nnls,0.848278664560881,0.3135744128465888,0.5599771538612882,0.4013211993709899,2.394977441891829,1,
3,1,792,198,rf,0.8508547128740869,0.41643377133888865,0.6453167992070938,0.4564058080808079,2.65397,0,
3,1,792,198,gbr,0.850614624117349,0.4171041315517461,0.6458359943141494,0.4479481994323877,2.6636142742382143,0,
3,1,792,198,svr,0.801388525344026,0.554550043222889,0.744681168838644,0.4848900773493197,3.8043204898954146,0,
3,1,792,198,mlp,0.9012572574493664,0.2757030642073905,0.5250743416006828,0.36409890110655263,2.5739551906585696,2,
3,1,792,198,pinn,0.9006610393108971,0.2773677857197357,0.5266571804501822,0.3474788575888884,3.57862557220459,0,
3,1,792,198,hybrid_gated,0.8514274136486654,0.41483471348059314,0.644076636341199,0.43079326780155464,3.3421828670501705,6,0.07906193286180496
3,1,792,198,hybrid_ungated,0.865910669026037,0.37439550970628094,0.6118786723740917,0.411569954922705,3.711653602600098,2,
3,1,792,198,stack_ridge,0.9098193142839998,0.25179664593046447,0.5017934295409461,0.338436798705424,2.8276015363110005,0,
3,1,792,198,stack_nnls,0.9112358861490486,0.2478413860928754,0.4978367062530398,0.33494228991037,3.0034332001009414,0,
3,2,792,198,rf,0.8780536827526796,0.3311095825166667,0.5754212218163897,0.38466409090909087,2.8255899999999996,0,
3,2,792,198,gbr,0.8659368403306626,0.3640093266527482,0.6033318544986235,0.4348220375080713,2.8760297231892684,0,
3,2,792,198,svr,0.8267540540123797,0.4703987307162931,0.6858562026520524,0.4522949059188972,3.048442792098059,0,
3,2,792,198,mlp,0.9075857495173163,0.25092388672839916,0.5009230347352767,0.3230504676585246,2.5815074825286866,0,
3,2,792,198,pinn,0.8950842608772833,0.2848680252466874,0.5337302926073125,0.34087851991918355,2.6749174976348877,0,
3,2,792,198,hybrid_gated,0.7876929252952454,0.5764578091215029,0.7592481867752486,0.5240672240016436,3.227032455444336,4,0.0821417048573494
3,2,792,198,hybrid_ungated,0.7931513521913286,0.561637046251769,0.7494244766831205,0.46019296252607095,3.743230865478516,0,
3,2,792,198,stack_ridge,0.9078733066009995,0.2501431095136599,0.5001430890391868,0.31980530241204747,2.716548662093985,0,
3,2,792,198,stack_nnls,0.9080150714084311,0.24975818861351498,0.4997581301124725,0.3203428298536009,2.7699426679423946,0,
3,3,792,198,rf,0.8352734212658656,0.3787776591166667,0.6154491523405218,0.42043580808080816,3.25981,0,
3,3,792,198,gbr,0.8463553846426388,0.3532954316672297,0.5943866011841364,0.43830215398674116,2.5954037310900357,0,
3,3,792,198,svr,0.7889645013526346,0.4852618975179591,0.6966074199417912,0.46879410525908954,3.7650783955612592,0,
3,3,792,198,mlp,0.8703780050999061,0.2980570359415598,0.5459460009392502,0.35924191551738316,2.3011994991302487,1,
3,3,792,198,pinn,0.8558345037390107,0.3314988365494084,0.5757593564584153,0.3896831268168459,2.6318426761627194,1,
3,3,792,198,hybrid_gated,0.6963772288289989,0.6981600868690652,0.835559744643712,0.5050722515438543,5.377660285949707,6,0.07554608583450317
3,3,792,198,hybrid_ungated,0.806362689419841,0.44525593734073604,0.6672750087787913,0.4465320081253244,3.2056541557312013,1,
3,3,792,198,stack_ridge,0.8954176279386759,0.24048011182331433,0.4903877158160819,0.3325663190752233,1.8554558953688138,1,
3,3,792,198,stack_nnls,0.8920984467914111,0.24811234503550442,0.49810876827807843,0.3356548083664955,1.9669394594852943,1,
3,4,792,198,rf,0.7868496585935087,0.43895637848737407,0.6625378317404781,0.4721363131313132,2.632240000000003,0,
3,4,792,198,gbr,0.7626698397240248,0.4887516809644552,0.6991077749277683,0.5055805576227054,2.9697288910883337,0,
3,4,792,198,svr,0.7269508805358963,0.5623103948051159,0.749873585883058,0.5117027333706207,3.094402225518423,0,
3,4,792,198,mlp,0.8143638247520397,0.3822944062176885,0.6182996087801516,0.36725313506824797,4.030262340545654,0,
3,4,792,198,pinn,0.8062625793292199,0.39897790448737563,0.6316469777394456,0.3794733550813463,3.55894731426239,1,
3,4,792,198,hybrid_gated,0.7182644649041506,0.5801989776832247,0.7617079346332324,0.45422871158941824,3.8342416038513187,5,0.08256924152374268
3,4,792,198,hybrid_ungated,0.7631886127101946,0.4876833331036752,0.6983432774099534,0.4510454488643492,3.477023302078247,3,
3,4,792,198,stack_ridge,0.8284318510330587,0.35332307158114346,0.5944098515175732,0.3822414480922133,3.191730912783135,0,
3,4,792,198,stack_nnls,0.8255913111945227,0.35917280690056763,0.5993102759844583,0.3838918703526722,3.1574788325516967,0,
4,0,792,198,rf,0.8219629320285929,0.43267634837323227,0.6577813834194703,0.4828162121212121,2.16923,0,
4,0,792,198,gbr,0.8205750662622804,0.43604922290235437,0.6603402326849049,0.4998944294619492,2.3271902682300185,0,
4,0,792,198,svr,0.7624849951343726,0.5772231937992524,0.7597520607403789,0.5510846292158473,2.9265194877064946,0,
4,0,792,198,mlp,0.867886013524753,0.32107132457562604,0.56663155981257,0.39261449372346957,2.991771690368652,1,
4,0,792,198,pinn,0.8718906467020991,0.31133902511972467,0.557977620626244,0.4048239706441609,2.0120315475463864,1,
4,0,792,198,hybrid_gated,0.7924358023545222,0.5044349478092309,0.7102358395696678,0.4772967583820073,3.686870567321777,4,0.08157312870025635
4,0,792,198,hybrid_ungated,0.7999416310511911,0.4861938332537425,0.6972760093777374,0.47512954745148167,3.727865226745606,3,
4,0,792,198,stack_ridge,0.8802899736724318,0.290926477532163,0.5393760075607396,0.3891425161840757,2.2063002565958962,1,
4,0,792,198,stack_nnls,0.8781095860735199,0.2962253860970187,0.5442659148771111,0.3984165050075884,2.103998718339029,0,
4,1,792,198,rf,0.8153088396906669,0.5325298697989899,0.7297464421283532,0.47560818181818176,3.1456399999999984,0,
4,1,792,198,gbr,0.821080637633262,0.5158877370530142,0.718253254119335,0.5086378631189904,3.0274294673430004,0,
4,1,792,198,svr,0.7455990109319237,0.7335279358159454,0.856462454411135,0.5469005760504868,4.332019393037985,0,
4,1,792,198,mlp,0.8859349414376114,0.32888986502172846,0.5734892021840764,0.40781835007185885,2.583998695373535,2,
4,1,792,198,pinn,0.8605599526051376,0.40205492325448694,0.6340780103855416,0.43607363704840335,2.883950954437255,0,
