tier,repeat,fold,n_train,n_valid,variant,r2,mse,rmse,mae,max_error,negative_predictions
geometry_only,0,0,792,198,prior_rf,0.8116673131179301,0.4466905579173274,0.6683491287623015,0.4531544340546167,3.3403932210662557,0
geometry_only,0,0,792,198,rf,0.810731952261936,0.44890906214798004,0.6700067627628694,0.4439329797979798,3.1568000000000036,0
geometry_only,0,0,792,198,gbr,0.82120483580055,0.424069305075985,0.6512060388816929,0.47583820613074146,2.4506210817579133,0
geometry_only,0,0,792,198,svr,0.7809607073697127,0.5195209894292379,0.7207780444972209,0.49781584112638244,3.09044390439099,0
geometry_only,0,0,792,198,mlp,0.7557572696743895,0.5792989166278666,0.7611168876249341,0.5199299210171507,2.835552207946777,1
geometry_only,0,0,792,198,pinn,0.8205091213053074,0.42571941213480746,0.6524717711401831,0.4381227696556033,2.798416606903076,2
geometry_only,0,0,792,198,stack_ridge,0.8513263875118691,0.35262651433148723,0.5938236390810719,0.4017805124524736,2.6547098887438834,0
geometry_only,0,0,792,198,stack_nnls,0.8531048719336751,0.3484082757889594,0.5902611928536039,0.40136125098740716,2.617230813368718,0
geometry_only,0,1,792,198,prior_xgb,0.8586544834922426,0.3652198139386315,0.604334190608666,0.4211629492718764,2.9222049922943114,0
geometry_only,0,1,792,198,prior_gbr,0.8468105728671127,0.3958230544353212,0.6291447007130563,0.44761194362523765,2.7463482995597666,0
geometry_only,0,1,792,198,prior_rf,0.8258217103116503,0.4500557507859605,0.6708619461453753,0.4846702359330253,2.7176340595238075,0
geometry_only,0,1,792,198,rf,0.8165213358985908,0.4740867996414139,0.6885396137052784,0.49665626262626267,2.6437400000000006,0
geometry_only,0,1,792,198,gbr,0.7901276336619396,0.5422849516464147,0.7363999943280924,0.5480673363651244,2.8761574663486016,0
geometry_only,0,1,792,198,svr,0.7384173274147698,0.6758981633910158,0.8221302593816967,0.5584447172390595,4.159048422589132,0
geometry_only,0,1,792,198,mlp,0.8222113780956111,0.45938441498965427,0.6777790310932128,0.4189846810870098,3.205303577423096,1
geometry_only,0,1,792,198,pinn,0.823020856643988,0.45729281978288777,0.676234293557261,0.4104493587902098,3.576992574691772,0
geometry_only,0,1,792,198,stack_ridge,0.8460252951515752,0.3978521176008515,0.6307551962535477,0.4249586991626549,2.8776395007496034,0
