repeat,fold,n_train,n_valid,r2,mse,rmse,mae,max_error,negative_predictions,variant
4,21,792,198,0.8290033996101998,0.4930436150226981,0.7021706452299883,0.44036320052243244,4.161027198791503,2,in_sample_prior
4,22,792,198,0.825734314241286,0.3490508037276341,0.5908052164018477,0.37648785312248007,2.9511662845611575,0,in_sample_prior
4,23,792,198,0.8616144409723746,0.34092546289057907,0.5838882280801515,0.41623702808100765,2.1415353164672855,1,in_sample_prior
4,24,792,198,0.8261581950989726,0.36774688776066145,0.606421378053793,0.42549649949748114,2.7710412635803223,1,in_sample_prior
0,0,792,198,0.8377326617803283,0.38486833614014315,0.620377575465251,0.4532592774468159,2.6275387865866806,0,gbr_prior_only
0,1,792,198,0.8695106740217726,0.3371687233682443,0.5806623144033409,0.43729130125403426,1.869937101187782,0,gbr_prior_only
0,2,792,198,0.8327150373184126,0.38835060465281185,0.6231778274720723,0.44286696015355437,2.997729308610647,0,gbr_prior_only
0,3,792,198,0.8309958010221508,0.4755350995778255,0.6895905303713397,0.49478079420396126,2.9050967407542494,0,gbr_prior_only
0,4,792,198,0.7530683308048676,0.45345466556936675,0.6733904258076192,0.488082132404136,2.6424054300845885,0,gbr_prior_only
1,5,792,198,0.8689008143459783,0.26720551059009184,0.516919249583619,0.3819131595946228,2.29485813362083,0,gbr_prior_only
1,6,792,198,0.8173174652812478,0.4330765368241421,0.6580855087480214,0.4825272751551463,2.6792116863581508,0,gbr_prior_only
1,7,792,198,0.8068137773847961,0.4667148766276716,0.6831653362310413,0.4878075015473143,2.9230789953313394,0,gbr_prior_only
1,8,792,198,0.8665312425403225,0.36843202757354854,0.6069860192570736,0.47070001005133105,2.099203652096106,0,gbr_prior_only
1,9,792,198,0.807599439848158,0.44593738952976325,0.6677854367457883,0.48746676306188574,2.578669120989452,0,gbr_prior_only
2,10,792,198,0.8572687504916208,0.39961999097604306,0.6321550371357038,0.47499411366392835,2.4065283118953333,0,gbr_prior_only
2,11,792,198,0.8519776350297812,0.36889277065392145,0.6073654341942102,0.449957797468711,2.261035104245231,0,gbr_prior_only
