Formula,Energy above hull [eV/atom],Heat of formation [eV/atom],Magnetic,Layer group (not Space group),2D Bravais type,Band gap (HSE06) [eV],Thickness [Å],Energy [eV],Unit cell area [Å2],Vacuum level [eV],Stoichiometry,Total magnetic moment [μB]
Zr2Cl4,0.029,-1.676,No,p2_1/m11,Rectangular (op),1.161,3.803,-32.004,20.766,3.823,AB2,0
Ag4S4Cl4,0.104,-0.188,No,p2_1/b11,Rectangular (op),1.164,3.737,-37.07,50.422,1.579,ABC,0
Hf2IBr3,0.041,-1.029,No,pm11,Rectangular (op),1.165,3.887,-27.418,22.048,4.055,AB2C3,0
Y4Te4Cl4,0.042,-1.776,No,pmma,Rectangular (op),1.174,3.843,-60.034,61.041,3.253,ABC,0
Hg3Te3,0.073,-0.13,No,pm2m,Rectangular (op),1.174,5.124,-13.049,30.446,3.027,AB,0
Ir2S2Br2,0,-0.398,No,pmmn,Rectangular (op),1.178,5.701,-32.265,16.746,4.135,ABC,
Ag2Se2,0.089,0.022,No,p2/m11,Rectangular (op),1.179,2.76,-12.556,22.76,2.421,AB,
IrGaS2I2,0.089,-0.407,No,pmm2,Rectangular (op),1.18,6.124,-25.735,17.893,4.195,ABC2D2,0
Bi2Se2I2,0.022,-0.421,No,pmmn,Rectangular (op),1.18,7.012,-21.796,25.328,3.805,ABC,
Tl4Te2,0.014,-0.235,No,pmmn,Rectangular (op),1.184,3.724,-17.813,35.912,2.747,AB2,0
Bi2Se2Br2,0.082,-0.501,No,pm2_1b,Rectangular (op),1.189,4.436,-22.487,30.225,3.133,ABC,0
Zr2Si2Te8,0.005,-0.487,No,pm2_1n,Rectangular (op),1.191,7.399,-57.088,43.681,2.296,ABC4,0
CrRhBrClS2,0.084,-0.695,Yes,pmm2,Rectangular (op),1.194,5.551,-32.253,16.684,3.921,ABCDE2,2.995
Pb2Se6,0.124,-0.167,No,p2_111,Rectangular (op),1.195,6.815,-29.754,28.083,3.807,AB3,
Ir2S2Cl2,0,-0.5,No,pmmn,Rectangular (op),1.201,5.415,-33.279,16.468,4.096,ABC,
Mn2Sb2Br2S4,0.102,-0.412,Yes,p2/m11,Rectangular (op),1.201,4.186,-51.849,40.48,1.642,ABCD2,9.983
W2Cr2Se8,0.015,-0.525,No,pm2m,Rectangular (op),1.203,3.306,-75.952,37.176,4.494,ABC4,
Co2H2S4,0.017,-0.329,No,p2_1/m11,Rectangular (op),1.204,6.043,-42.054,14.923,3.901,ABC2,
Cu4Se2,0.083,-0.042,No,pmma,Rectangular (op),1.209,3.846,-21.922,22.262,2.685,AB2,0
Cu4Se4I4,0.003,-0.148,No,p2_1/b11,Rectangular (op),1.212,4.723,-36.328,45.879,1.987,ABC,0
Cu2Br2O4,0.054,-0.214,No,p2_122,Rectangular (op),1.212,3.157,-32.732,30.326,2.118,ABC2,0
Ag4Se4Br4,0.07,-0.168,No,p2_1/b11,Rectangular (op),1.213,4.29,-33.65,52.272,1.713,ABC,0
TeGe2S,0.081,-0.11,No,pm11,Rectangular (op),1.216,2.702,-16.753,17.728,3.195,ABC2,0
MoW3Te8,0.018,-0.159,No,pm2m,Rectangular (op),1.22,3.622,-73.202,43.654,4.812,AB3C8,
Sn4As8,0.011,-0.03,No,pm2_1b,Rectangular (op),1.229,6.183,-53.884,43.276,2.046,AB2,0
Ta2Rh2S8,0,-0.849,No,p2_1/m11,Rectangular (op),1.231,3.261,-76.737,39.813,2.105,ABC4,0
Cr2SeSI2,0.011,-0.56,Yes,pmm2,Rectangular (op),1.232,6.053,-32.693,18.314,4.071,ABC2D2,6
Pd2Se4,0.044,-0.247,No,pmma,Rectangular (op),1.234,2.297,-23.053,29.806,2.805,AB2,0
Bi2Se2Cl2,0.043,-0.638,No,pmmn,Rectangular (op),1.236,6.196,-23.712,24.412,3.512,ABC,
Cu4O4Cl4,0.1,-0.34,No,p2_1/b11,Rectangular (op),1.237,3.656,-46.422,33.875,1.623,ABC,
In2Al2Te6,0.06,-0.324,No,pm2_1n,Rectangular (op),1.238,7.986,-35.476,29.954,2.795,ABC3,0
Bi2Se2Br2,0.036,-0.547,No,pmmn,Rectangular (op),1.24,6.561,-22.763,24.742,3.56,ABC,
As6O12,0.159,-0.976,Yes,p2_12_12,Rectangular (op),1.241,3.006,-107.041,56.132,1.322,AB2,1.995
Mn2Sb2Cl2S4,0.086,-0.494,Yes,p2/m11,Rectangular (op),1.242,4.051,-53.064,40.246,1.595,ABCD2,9.982
Ga2Se2Cl2,0.176,-0.693,No,pmmn,Rectangular (op),1.243,5.302,-20.498,19.37,3.356,ABC,
Ag4Te4Cl4,0.033,-0.278,No,p2_1/b11,Rectangular (op),1.247,4.142,-34.659,56.898,1.676,ABC,0
Hg3Se3,0.077,-0.169,No,pm2m,Rectangular (op),1.248,4.837,-14.118,26.99,2.995,AB,0
Sr4Sb4F4Se8,0,-1.76,No,p2_1/b11,Rectangular (op),1.249,11.396,-93.724,35.448,3.513,ABCD2,0
Nb2Ir2S8,0,-0.818,No,p2_1/m11,Rectangular (op),1.253,3.336,-81.641,39.513,2.17,ABC4,0
Ag4Te4Br4,0.037,-0.208,No,p2_1/b11,Rectangular (op),1.256,4.455,-33.015,57.138,1.741,ABC,0
