Formula,Energy above hull [eV/atom],Heat of formation [eV/atom],Magnetic,Layer group (not Space group),2D Bravais type,Band gap (HSE06) [eV],Thickness [Å],Energy [eV],Unit cell area [Å2],Vacuum level [eV],Stoichiometry,Total magnetic moment [μB]
Pd2Te2O6,0.08,-0.764,No,p2_1/m11,Rectangular (op),2.509,4.237,-52.431,26.488,1.623,ABC3,0
K2Os2N2S2F10,0,-1.789,Yes,p2_1/m11,Rectangular (op),2.516,10.9,-97.75,28.46,1.853,ABCDE5,2
Rb2Os2N2S2F10,0,-1.791,Yes,p2_1/m11,Rectangular (op),2.52,11,-97.173,30.002,1.868,ABCDE5,2
Sn2S2,0.062,-0.396,No,pm2_1n,Rectangular (op),2.52,2.219,-17.852,22.178,2.558,AB,0
Cs2Os2N2S2F10,0,-1.801,Yes,p2_1/m11,Rectangular (op),2.525,11.126,-97.201,32.391,1.979,ABCDE5,2
Ag2Hg2S2Cl2,0.031,-0.328,No,pm2_1b,Rectangular (op),2.526,3.754,-21.799,31.478,1.47,ABCD,0
Li4Sb4S8,0.017,-0.665,No,p2_1/b11,Rectangular (op),2.535,6.882,-68.447,39.505,2.271,ABC2,0
As4Se6,0.004,-0.113,No,pm2_1n,Rectangular (op),2.535,2.908,-40.68,54.731,1.369,A2B3,0
Pt4Br8,0,-0.269,No,p2_1/b11,Rectangular (op),2.538,5.353,-41.316,60.628,1.336,AB2,0
Ba4P4F4Se8,0.075,-1.662,No,p2_1/b11,Rectangular (op),2.547,11.12,-96.218,39.008,3.369,ABCD2,0
Ag2Cd2S2I2,0.058,-0.409,No,pm2_1b,Rectangular (op),2.549,5.267,-21.922,31.885,1.645,ABCD,0
Cu2Br2Se3P4,0.04,-0.148,No,pm11,Rectangular (op),2.556,4.331,-44.054,46.598,1.539,A2B2C3D4,0
Zn2Te2N4H8,0.131,-0.233,No,p2_111,Rectangular (op),2.567,8.297,-72.513,28.943,1.072,ABC2D4,
Ag2As4Br2Se3,0.018,-0.167,No,pm11,Rectangular (op),2.572,4.711,-39.786,54.415,1.444,A2B2C3D4,0
Cu2Cd2S2Br2,0.06,-0.51,No,pm2_1b,Rectangular (op),2.573,4.849,-24.613,27.801,1.589,ABCD,0
Ga4S6,0.044,-0.619,No,pm2_1n,Rectangular (op),2.574,6.905,-42.274,22.188,2.621,A2B3,0
Cs2Ru2N2S2F10,0.027,-1.751,Yes,p2_1/m11,Rectangular (op),2.579,10.423,-92.846,32.614,1.786,ABCDE5,2
In4S6,0.002,-0.577,No,pm2_1n,Rectangular (op),2.581,7.217,-41.287,25.651,2.678,A2B3,0
Cu2Cd2S2Cl2,0.071,-0.58,No,pm2_1b,Rectangular (op),2.584,4.424,-25.572,27.164,1.56,ABCD,0
AuInS2Cl2,0.012,-0.605,No,p2/m11,Rectangular (op),2.584,3.515,-21.252,25.808,3.004,ABC2D2,0
Cu2As4I2S3,0.043,-0.141,No,pm11,Rectangular (op),2.585,4.536,-42.75,45.284,1.673,A2B2C3D4,0
K4Cu4Te4,0.064,-0.553,No,pmma,Rectangular (op),2.585,4.284,-39.037,53.157,2.527,ABC,0
Si4Sb4Se4,0.044,-0.181,No,p2_122,Rectangular (op),2.586,3.325,-55.324,55.415,1.719,ABC,0
Sn2I2Br2,0.083,-0.585,No,pm11,Rectangular (op),2.586,3.345,-17.748,37.582,2.724,ABC,0
Ag2As4I2S3,0.04,-0.137,No,pm11,Rectangular (op),2.587,4.889,-41.034,50.771,1.592,A2B2C3D4,0
Co2H2O4,0.051,-1.035,No,p2_1/m11,Rectangular (op),2.596,5.125,-51.881,10.86,2.94,ABC2,
Cd2Bi2I2O4,0,-1.029,No,p2_1/m11,Rectangular (op),2.598,6.985,-44.949,32.37,2.037,ABCD2,0
Cr2Br4,0.063,-0.691,Yes,p2_1/b11,Rectangular (op),2.6,2.926,-29.3,26.926,2.877,AB2,8
Ba4Bi4Cl4S8,0.065,-1.329,No,p2_1/b11,Rectangular (op),2.601,10.904,-92.351,44.68,3.009,ABCD2,0
In4Se4I4,0,-0.559,No,p2_1/b11,Rectangular (op),2.602,5.284,-37.605,59.83,1.839,ABC,0
Pd2F4,0,-1.285,No,pman,Rectangular (op),2.606,2.114,-21.699,21.637,1.124,AB2,0
Cr2Cu2P4S12,0,-0.374,Yes,p2_111,Rectangular (op),2.607,3.375,-104.039,62.162,2.01,ABC2D6,6
Sn4O4,0.045,-1.258,No,pm2_1b,Rectangular (op),2.611,4.189,-46.79,23.735,3.246,AB,0
Ga8Se12,0.001,-0.592,No,p2_1/b11,Rectangular (op),2.621,4.044,-76.86,82.688,1.663,A2B3,0
Rb2Ru2N2S2F10,0.037,-1.738,Yes,p2_1/m11,Rectangular (op),2.622,10.562,-92.764,29.864,1.655,ABCDE5,2
In2Te2Cl2,0.007,-0.698,No,pm2_1n,Rectangular (op),2.622,5.445,-19.691,27.32,1.901,ABC,0
K2Ru2N2S2F10,0.03,-1.736,Yes,p2_1/m11,Rectangular (op),2.625,10.443,-93.342,28.504,1.627,ABCDE5,2
Cs2C2O6,0.007,-1.473,Yes,p2_1/m11,Rectangular (op),2.628,4.669,-65.585,28.876,1.49,ABC3,2
Sc2I6,0.047,-1.242,No,pmma,Rectangular (op),2.628,3.834,-28.123,44.909,3.1,AB3,0
Sb4S6,0.046,-0.229,No,p2_111,Rectangular (op),2.635,3.945,-44.387,54.761,1.44,A2B3,0
NiN2Cl2H4C6,0.181,-0.081,Yes,pm2m,Rectangular (op),2.638,4.333,-97.36,34.042,1.165,AB2C2D4E6,2
In2Te2F2,0.078,-1.266,No,pm2_1n,Rectangular (op),2.647,4.178,-22.705,24.394,1.722,ABC,0
In2S2Cl2,0.019,-0.81,No,pmmn,Rectangular (op),2.649,5.669,-22.115,20.082,3.462,ABC,
Ag2Br2Se3P4,0.037,-0.135,No,pm11,Rectangular (op),2.651,4.595,-42.245,53.907,1.429,A2B2C3D4,0
Pt4P4S4,0,-0.558,No,p2/b11,Rectangular (op),2.654,4.259,-69.888,32.389,2.503,ABC,0
Na2Tl2S2,0.047,-0.677,No,pmmn,Rectangular (op),2.658,6.728,-19.83,21.663,2.525,ABC,0
Hg2Bi2I2O4,0.012,-0.787,No,p2_1/m11,Rectangular (op),2.659,7.185,-42.44,33.299,1.928,ABCD2,0
Pd2Se2O6,0,-0.646,No,p2_1/m11,Rectangular (op),2.663,3.918,-51.809,26.952,1.51,ABC3,
Hf2N2I2,0,-1.459,No,pmmn,Rectangular (op),2.664,6.274,-43.43,15.418,4.684,ABC,
Cs2C2O6,0,-1.481,Yes,p2_1/m11,Rectangular (op),2.664,4.946,-65.659,30.021,1.372,ABC3,2
Rb2C2O6,0.017,-1.469,Yes,p2_1/m11,Rectangular (op),2.673,4.779,-65.693,26.95,1.244,ABC3,2
Cu2Sb4Br2S3,0.098,-0.212,No,pm11,Rectangular (op),2.676,4.538,-42.711,46.87,1.65,A2B2C3D4,0
Cu2Cl2Se3P4,0.067,-0.197,No,pm11,Rectangular (op),2.68,4.164,-44.998,46.465,1.493,A2B2C3D4,0
Mo2O4Br4,0,-1.384,No,pb2_1m,Rectangular (op),2.682,4.835,-63.082,30.945,1.753,AB2C2,
Cu4F8,0,-1.606,Yes,pmma,Rectangular (op),2.682,6.342,-46.67,21.011,2.979,AB2,4
In2BrClS2,0.013,-0.761,No,pmm2,Rectangular (op),2.685,5.837,-21.618,20.336,3.565,ABC2D2,0
In4S6,0.053,-0.526,No,pmmn,Rectangular (op),2.686,5.255,-40.784,43.424,2.867,A2B3,0
In8S12,0.062,-0.517,No,p2_1/b11,Rectangular (op),2.69,4.109,-81.387,88.673,1.636,A2B3,0
Cu2I2S3P4,0.038,-0.141,No,pm11,Rectangular (op),2.692,4.458,-45.555,43.173,1.707,A2B2C3D4,0
K2C2O6,0.032,-1.473,Yes,p2_1/m11,Rectangular (op),2.692,4.688,-66.353,24.407,1.266,ABC3,2
P4Se6,0.028,-0.038,No,pb11,Rectangular (op),2.7,2.598,-42.735,56.29,1.297,A2B3,0
Sc2Se2I2,0,-1.543,No,pmmn,Rectangular (op),2.701,6.315,-28.501,21.421,3.823,ABC,
Sc2Se2Cl2,0,-1.911,No,pmmn,Rectangular (op),2.702,5.503,-31.323,20.274,3.393,ABC,
In2Se2Br2,0.013,-0.695,No,pm2_1n,Rectangular (op),2.704,6.016,-19.829,24.82,1.97,ABC,0
Sn6O6,0.036,-1.268,No,pm2_1n,Rectangular (op),2.707,4.083,-70.297,42.332,2.767,AB,0
Sr4As4F4S8,0,-1.76,No,p2_1/b11,Rectangular (op),2.707,10.517,-99.517,33.443,3.193,ABCD2,0
Cr2Ag2P4S12,0,-0.363,Yes,p2/b11,Rectangular (op),2.715,3.761,-102.151,63.803,2.01,ABC2D6,6
In2H2S4,0,-0.437,No,p2_1/m11,Rectangular (op),2.717,6.179,-31.98,20.403,3.426,ABC2,0
Bi2O2Cl2,0.136,-1.142,No,pmmn,Rectangular (op),2.721,6.31,-30.02,17.011,4.038,ABC,
Cu2Cd2S2I2,0.055,-0.413,No,pm2_1b,Rectangular (op),2.722,5.316,-23.622,28.687,1.717,ABCD,0
In2S2Br2,0.016,-0.703,No,pmmn,Rectangular (op),2.729,6.012,-21.069,20.553,3.503,ABC,
Ga2Al2Se6,0.012,-0.713,No,pm2_1n,Rectangular (op),2.729,7.269,-41.311,24.009,2.705,ABC3,0
Pt2Se2O6,0.02,-0.59,No,p2_1/m11,Rectangular (op),2.732,3.85,-56.321,27.817,1.525,ABC3,0
Pd2I4O12,0.026,-0.157,No,p2_1/b11,Rectangular (op),2.732,5.962,-77.862,43.784,1.798,AB2C6,
InGaS2Br2,0.017,-0.734,No,pm11,Rectangular (op),2.736,5.626,-21.397,23.382,3.044,ABC2D2,0
Ga2Te2Br2,0,-0.609,No,pm2_1n,Rectangular (op),2.737,5.692,-19.041,25.165,1.889,ABC,0
Al2SeSBr2,0.058,-1.003,No,pmm2,Rectangular (op),2.737,5.584,-24.224,18.139,3.612,ABC2D2,0
Li4Sb4S8,0.011,-0.671,No,pb2_1a,Rectangular (op),2.746,6.715,-68.546,40.747,2.159,ABC2,0
Ga4Te4Br4,0.002,-0.607,No,p2_1/b11,Rectangular (op),2.747,4.459,-38.054,58.66,1.63,ABC,0
Ba4Sb4F4S8,0,-1.823,No,p2_1/b11,Rectangular (op),2.749,10.565,-100.368,38.176,3.304,ABCD2,0
Cr2O2Br2,0.027,-1.438,Yes,pmmn,Rectangular (op),2.752,5.397,-40.86,12.914,2.284,ABC,6
Zn2P4S8,0.092,-0.261,No,p2_111,Rectangular (op),2.759,7.708,-60.111,30.896,2.627,AB2C4,0
In4Te4Br4,0,-0.596,No,p2_1/b11,Rectangular (op),2.764,4.431,-37.364,65.615,1.646,ABC,0
Sc2SeSI2,0.007,-1.604,No,pmm2,Rectangular (op),2.768,6.287,-29.463,20.742,3.846,ABC2D2,0
Pt2F4,0.084,-1.075,No,pman,Rectangular (op),2.781,2.09,-25.504,22.313,1.182,AB2,0
Pt2S4,0.05,-0.345,No,p2_1/b11,Rectangular (op),2.787,1.285,-31.089,30.425,2.791,AB2,
Ge4P4S4,0,-0.194,No,p2_122,Rectangular (op),2.789,3.193,-58.166,48.455,1.676,ABC,0
In4S4I4,0,-0.561,No,p2_1/b11,Rectangular (op),2.789,5.463,-40.016,55.901,1.856,ABC,0
Co2Bi4I4O6,0.102,-0.879,Yes,p2_1/m11,Rectangular (op),2.811,7.196,-85.88,46.08,2.339,AB2C2D3,6
Ni2Se2O6,0.002,-0.734,No,p2_1/m11,Rectangular (op),2.815,3.854,-59.548,23.853,1.523,ABC3,0
Tl2Cl4,0.039,-0.805,No,p2/m11,Rectangular (op),2.82,2.968,-16.968,33.005,2.593,AB2,
Sc2Se2Br2,0,-1.752,No,pmmn,Rectangular (op),2.82,5.866,-29.965,20.685,3.483,ABC,
Ga4Se4I4,0,-0.574,No,p2_1/b11,Rectangular (op),2.821,5.218,-38.348,53.005,1.832,ABC,0
Ga2Te2F2,0.051,-1.336,No,pm2_1n,Rectangular (op),2.827,4.129,-23.408,22.191,1.661,ABC,0
Ga4Se4Br4,0.047,-0.697,No,pb2_1a,Rectangular (op),2.829,5.861,-40.245,50.942,2.81,ABC,0
Si4P4Se4,0.013,-0.277,No,p2_122,Rectangular (op),2.829,3.442,-60.309,46.988,1.729,ABC,0
Cu2As4Br2S3,0.038,-0.207,No,pm11,Rectangular (op),2.83,4.33,-43.683,44.416,1.552,A2B2C3D4,0
In2Ga2S6,0.003,-0.638,No,pm2_1n,Rectangular (op),2.831,7.218,-42.183,23.839,2.686,ABC3,0
Al2Se2I2,0.007,-0.778,No,pm2_1n,Rectangular (op),2.831,6.448,-22.068,22.352,2.111,ABC,0
Pb2IBr3,0.08,-0.818,No,pm11,Rectangular (op),2.832,3.956,-18.66,32.867,3.088,AB2C3,0
K2Os2N2O2F10,0,-1.964,Yes,p2_1/m11,Rectangular (op),2.833,10.156,-102.987,27.942,1.925,ABCDE5,2
In2S2Br2,0.021,-0.698,No,pm2_1n,Rectangular (op),2.834,6.291,-21.037,22.932,2.001,ABC,0
Cu4H4O4F4,0.078,-1.069,Yes,p2_1/b11,Rectangular (op),2.835,3.983,-71.943,31.743,1.369,ABCD,3.999
In4Te4Cl4,0.006,-0.699,No,pb2_1a,Rectangular (op),2.839,5.32,-39.395,54.149,3.302,ABC,0
Ge4As4S4,0,-0.224,No,p2_122,Rectangular (op),2.844,3.075,-55.717,51.093,1.644,ABC,0
Ag2As4Cl2Se3,0.034,-0.202,No,pm11,Rectangular (op),2.844,4.478,-40.575,55.371,1.368,A2B2C3D4,0
Pd2S2O6,0.06,-0.845,No,p2_1/m11,Rectangular (op),2.851,3.605,-54.987,27.024,1.489,ABC3,0
Pb2Br4,0.037,-0.928,No,pmmn,Rectangular (op),2.852,3.323,-19.425,34.713,2.756,AB2,0
Na4Hg2I8,0.043,-0.85,No,p2_1/m11,Rectangular (op),2.857,5.354,-30.731,73.978,1.525,AB2C4,0
Sr4Sb4Cl4S8,0.045,-1.28,No,p2_1/b11,Rectangular (op),2.862,10.304,-89.694,41.726,2.913,ABCD2,0
Rb2Os2N2O2F10,0,-1.966,Yes,p2_1/m11,Rectangular (op),2.864,10.298,-102.405,29.472,1.941,ABCDE5,2
W2O6,0.066,-2.18,No,p2_1/m11,Rectangular (op),2.865,6.463,-71.154,14.246,2.502,AB3,0
Ga4Te4Cl4,0.023,-0.707,No,pb2_1a,Rectangular (op),2.868,4.857,-40.062,56.543,2.858,ABC,0
Cr2Br2Cl2,0.063,-0.833,Yes,pb11,Rectangular (op),2.869,2.794,-30.555,26.054,2.599,ABC,8
As4S6,0.018,-0.122,No,p2_111,Rectangular (op),2.889,3.684,-44.343,50.118,1.362,A2B3,0
Ga4Te4Cl4,0.002,-0.728,No,p2_1/b11,Rectangular (op),2.89,4.051,-40.305,57.803,1.582,ABC,0
Cs2Os2N2O2F10,0,-1.975,Yes,p2_1/m11,Rectangular (op),2.891,10.483,-102.412,31.799,2.057,ABCDE5,2
Ga2Te2Cl2,0,-0.73,No,pm2_1n,Rectangular (op),2.893,5.304,-20.167,24.752,1.847,ABC,0
Cu2I4O12,0.03,-0.19,Yes,p2_111,Rectangular (op),2.895,5.507,-78.182,42.267,1.705,AB2C6,1.999
P4Se6,0.012,-0.054,No,pm2_1n,Rectangular (op),2.896,2.691,-42.896,54.135,1.317,A2B3,0
In2Te2H2S8,0.08,-0.17,No,p2_1/m11,Rectangular (op),2.9,5.251,-53.589,46.919,1.838,ABCD4,0
Si4As4Se4,0,-0.266,No,p2_122,Rectangular (op),2.901,3.315,-57.375,49.939,1.699,ABC,0
Ag4S2,0.034,-0.041,No,pmma,Rectangular (op),2.906,3.487,-19.763,30.637,2.345,AB2,0
Cu2As4Cl2S3,0.051,-0.257,No,pm11,Rectangular (op),2.91,4.17,-44.64,43.965,1.511,A2B2C3D4,
Na2Nb2Br12,0,-1.092,No,p2_111,Rectangular (op),2.912,10.065,-59.749,51.885,1.832,ABC6,0
In4Te4Cl4,0,-0.705,No,p2_1/b11,Rectangular (op),2.916,3.957,-39.468,64.468,1.6,ABC,0
Sc2SeSCl2,0.007,-1.975,No,pmm2,Rectangular (op),2.918,5.495,-32.302,19.604,3.535,ABC2D2,0
Ba4As4Cl4S8,0.013,-1.268,No,p2_1/b11,Rectangular (op),2.921,10.69,-91.081,44.98,2.995,ABCD2,0
Si4Sb4S4,0.057,-0.278,No,p2_122,Rectangular (op),2.922,3.487,-58.874,52.643,1.703,ABC,0
Cs4Cu4Se4,0,-0.716,No,pmma,Rectangular (op),2.928,4.55,-40.562,56.116,2.531,ABC,0
Al2H2S4,0,-0.74,No,p2_1/m11,Rectangular (op),2.93,6.063,-36.355,17.023,3.478,ABC2,0
Sr4P4F4S8,0.061,-1.754,No,p2_1/b11,Rectangular (op),2.936,10.42,-102.201,33.052,3.217,ABCD2,0
Al2Te2I2,0,-0.569,No,pm2_1n,Rectangular (op),2.938,6.395,-20.258,25.795,2.039,ABC,0
W2Sb4O12,0.038,-1.722,No,p2_111,Rectangular (op),2.951,8.233,-133.084,28.576,2.861,AB2C6,
K2Cu2Se2,0.027,-0.677,No,pmma,Rectangular (op),2.957,4.269,-20.819,24.236,2.28,ABC,0
Ba4P4F4S8,0.087,-1.746,No,p2_1/b11,Rectangular (op),2.96,10.554,-102.667,37.247,3.293,ABCD2,0
Ba4Sb4Cl4S8,0.019,-1.335,No,p2_1/b11,Rectangular (op),2.967,10.799,-91.393,44.816,3.075,ABCD2,0
Ga4S4I4,0,-0.597,No,p2_1/b11,Rectangular (op),2.97,5.379,-41.007,48.982,1.855,ABC,0
Ag8S4,0.002,-0.073,No,pbma,Rectangular (op),2.973,3.715,-39.913,57.198,2.45,AB2,0
Pt2S2O6,0.072,-0.765,No,p2_1/m11,Rectangular (op),2.976,3.591,-59.259,27.231,1.538,ABC3,0
Sr4As4Cl4S8,0.042,-1.215,No,p2_1/b11,Rectangular (op),2.976,10.242,-89.42,41.538,2.852,ABCD2,0
Cu2Br2S3P4,0.03,-0.206,No,pm11,Rectangular (op),2.985,4.244,-46.475,42.607,1.577,A2B2C3D4,0
Ag2Cl2Se3P4,0.062,-0.171,No,pm11,Rectangular (op),2.987,4.329,-43.04,54.967,1.35,A2B2C3D4,0
Li6Te2H2S8,0.044,-0.694,No,p2_1/m11,Rectangular (op),2.992,6.967,-69.517,56.946,1.274,ABC3D4,0
Ba4As4F4S8,0,-1.758,No,p2_1/b11,Rectangular (op),2.995,10.423,-100.1,37.829,3.211,ABCD2,0
In4F4,0,-1.763,No,pmmn,Rectangular (op),3.003,2.912,-31.501,31.641,2.663,AB,0
Al4Se6,0.017,-0.839,No,pm2_1n,Rectangular (op),3.01,7.306,-44.243,23.763,2.717,A2B3,0
VOBr2,0,-1.426,Yes,pm2m,Rectangular (op),3.019,3.517,-22.52,13.93,1.646,ABC2,1
K4O12,0,-0.689,Yes,pmmn,Rectangular (op),3.024,4.306,-77.399,49.291,1.016,AB3,4
Sc2S2F2,0.07,-2.839,No,pmmn,Rectangular (op),3.027,4.366,-37.68,17.624,2.804,ABC,0
Cr2O2Cl2,0,-1.607,Yes,pmmn,Rectangular (op),3.028,5.118,-42.279,12.525,3.711,ABC,6
Pb4I4Cl4,0.052,-0.883,No,pb2_1a,Rectangular (op),3.029,6.539,-38.688,54.446,3.252,ABC,0
As4H2P2S12,0.027,-0.125,No,p2_111,Rectangular (op),3.042,3.653,-87.473,85.41,1.408,ABC2D6,0
In2F2,0,-1.763,No,pmmn,Rectangular (op),3.051,2.904,-15.751,15.855,2.508,AB,0
K2Nb2Br12,0,-1.159,No,p2_111,Rectangular (op),3.052,10.347,-60.657,58.206,1.762,ABC6,0
Sc2S2I2,0,-1.679,No,pmmn,Rectangular (op),3.06,6.286,-30.508,20.004,3.859,ABC,
Li6H2Se2S8,0.083,-0.637,No,p2_1/m11,Rectangular (op),3.065,7.209,-69.041,54.34,1.285,ABC3D4,0
In2Se2Cl2,0.016,-0.799,No,pm2_1n,Rectangular (op),3.076,5.57,-20.859,24.499,1.933,ABC,0
K2Ru2N2O2F10,0,-1.914,Yes,p2_1/m11,Rectangular (op),3.089,10.076,-98.646,27.441,1.758,ABCDE5,2
Sc4I2Br2S4,0,-1.786,No,pmm2,Rectangular (op),3.091,6.082,-62.511,39.256,3.73,ABC2D2,0
P4S6,0.031,-0.132,No,p2_111,Rectangular (op),3.097,3.241,-47.25,46.602,1.376,A2B3,0
Ni2I4O12,0.076,-0.209,No,p2_1/b11,Rectangular (op),3.103,5.957,-85.658,40.934,1.851,AB2C6,0
Bi2Cl6,0.059,-0.956,No,pm2_1n,Rectangular (op),3.106,4.193,-27.705,48.161,2.228,AB3,0
Ta2Br2O4,0,-2.332,No,pmma,Rectangular (op),3.107,6.997,-61.955,14.432,2.783,ABC2,0
Ga2Se2Br2,0.002,-0.742,No,pm2_1n,Rectangular (op),3.109,5.824,-20.395,22.118,1.917,ABC,0
Zr2N2Br2,0.011,-1.703,No,pmmn,Rectangular (op),3.111,5.97,-44.899,14.913,4.257,ABC,
V2F8,0,-2.928,Yes,p2_1/b11,Rectangular (op),3.112,3.271,-59.016,26.656,1.28,AB4,2
Rb2Ru2N2O2F10,0,-1.916,Yes,p2_1/m11,Rectangular (op),3.12,10.211,-98.059,29.003,1.776,ABCDE5,2
Ag2As4Cl2S3,0.037,-0.217,No,pm11,Rectangular (op),3.122,4.468,-42.525,51.058,1.399,A2B2C3D4,0
Cu2Cl2S3P4,0.069,-0.257,No,pm11,Rectangular (op),3.123,4.086,-47.44,42.288,1.533,A2B2C3D4,0
Pb4O4,0.064,-1.099,No,pm2_1b,Rectangular (op),3.125,4.175,-44.321,26.437,3.011,AB,0
K2Cu2S2,0.076,-0.712,No,pmma,Rectangular (op),3.13,4.242,-22.219,22.985,2.116,ABC,0
W2As4O12,0.038,-1.638,No,pm2_1n,Rectangular (op),3.138,8.101,-132.595,28.713,2.579,AB2C6,0
Cs2Ru2N2O2F10,0,-1.925,Yes,p2_1/m11,Rectangular (op),3.138,10.356,-98.057,31.326,1.901,ABCDE5,2
VOCl2,0,-1.647,Yes,pm2m,Rectangular (op),3.144,3.253,-23.805,13.247,1.59,ABC2,1
In4Se4Br4,0,-0.707,No,p2_1/b11,Rectangular (op),3.146,4.588,-39.807,58.747,1.676,ABC,0
Zr2N2Cl2,0.025,-1.86,No,pmmn,Rectangular (op),3.148,5.663,-46.244,14.635,4.149,ABC,
Cr2Cl4,0.053,-0.986,Yes,p2_1/b11,Rectangular (op),3.151,2.669,-31.873,24.852,1.594,AB2,8
Si4P4S4,0.015,-0.384,No,p2_122,Rectangular (op),3.162,3.078,-63.975,45.119,1.698,ABC,0
Rh2F6,0,-1.65,No,pmma,Rectangular (op),3.167,2.443,-37.012,22.702,2.514,AB3,0
Pb2Br2Cl2,0.035,-1.036,No,pm2_1n,Rectangular (op),3.168,3.425,-20.474,33.896,2.663,ABC,0
Cd2I4,0,-0.63,No,pm2_1b,Rectangular (op),3.172,5.567,-11.548,33.804,2.801,AB2,0
Al2O2I2,0.186,-1.781,No,pmmn,Rectangular (op),3.181,5.735,-31.366,13.043,4.445,ABC,
Co2As4I4O6,0.077,-0.741,Yes,p2_1/m11,Rectangular (op),3.183,6.406,-83.624,42.185,2.222,AB2C2D3,6
In2Se2Cl2,0.021,-0.794,No,p2_111,Rectangular (op),3.19,5.084,-20.824,27.91,2.973,ABC,0
Al4Te4I4,0,-0.569,No,p2_1/b11,Rectangular (op),3.191,5.252,-40.517,59.925,1.786,ABC,0
H2P6S12,0.048,-0.12,No,p2_111,Rectangular (op),3.205,2.613,-90.167,82.387,1.432,AB3C6,0
Cd2Mn3O8,0.196,-1.369,Yes,p2/m11,Rectangular (op),3.208,3.385,-89.79,30.813,1.378,A2B3C8,9
Ag3Cl3,0,-0.439,No,pm2m,Rectangular (op),3.209,4.876,-16.506,23.704,2.731,AB,0
Al2S2Br2,0.026,-1.092,No,pmmn,Rectangular (op),3.21,5.581,-25.351,17.205,3.532,ABC,
Cu4I4,0.031,-0.135,No,pbma,Rectangular (op),3.21,3.434,-21.698,32.292,3.392,AB,0
HfZrBrClN2,0.009,-1.783,No,pmm2,Rectangular (op),3.213,5.788,-45.682,14.745,4.303,ABCDE2,0
Sr4Te4S12,0.055,-0.812,No,p2_1/b11,Rectangular (op),3.213,5.048,-84.697,89.082,1.69,ABC3,0
Mo2Sb4O12,0.038,-1.627,No,p2_111,Rectangular (op),3.217,8.127,-130.806,29.663,2.712,AB2C6,0
As4S6,0,-0.14,No,pm2_1n,Rectangular (op),3.236,2.597,-44.518,52.442,1.293,A2B3,0
Cu3Cl3,0.001,-0.451,No,pm2m,Rectangular (op),3.243,4.443,-19.088,19.537,2.823,AB,0
Si4As4S4,0.006,-0.37,No,p2_122,Rectangular (op),3.254,2.94,-61.007,47.73,1.671,ABC,0
Sn2O2,0.047,-1.256,No,pm2_1n,Rectangular (op),3.259,2.37,-23.386,16.78,1.403,AB,0
Ag2Cl2S3P4,0.06,-0.217,No,pm11,Rectangular (op),3.271,4.33,-45.325,50.716,1.38,A2B2C3D4,0
P4S6,0.021,-0.142,No,pb11,Rectangular (op),3.272,2.368,-47.347,50.531,1.285,A2B3,0
Na2Ta2Br12,0,-1.136,No,p2_111,Rectangular (op),3.277,10.031,-59.431,52.462,1.839,ABC6,0
Pd2N4O12,0,-0.387,No,p2_1/b11,Rectangular (op),3.277,4.52,-109.502,47.153,1.268,AB2C6,
In2Al2S6,0.054,-0.771,No,pm2_1n,Rectangular (op),3.283,6.761,-45.179,23.416,2.655,ABC3,0
Ga2S2Br2,0.002,-0.772,No,pm2_1n,Rectangular (op),3.284,5.953,-21.767,20.312,1.936,ABC,0
Zr4N4F4,0,-2.585,No,pmmn,Rectangular (op),3.293,4.671,-100.39,27.743,3.661,ABC,0
Hf2N2Br2,0,-1.695,No,pmmn,Rectangular (op),3.3,5.911,-45.058,14.858,4.231,ABC,
Li6H2S10,0.093,-0.627,No,p2_1/m11,Rectangular (op),3.3,7.359,-70.049,52.776,1.295,AB3C5,0
Al2S2Cl2,0.03,-1.261,No,pmmn,Rectangular (op),3.303,5.241,-26.768,16.66,3.458,ABC,
VOF2,0.001,-2.707,Yes,pm2m,Rectangular (op),3.311,2.485,-27.649,11.443,1.217,ABC2,1
Ag4Cl4,0.008,-0.431,No,p2_1/b11,Rectangular (op),3.321,3.244,-21.946,31.641,2.891,AB,0
Co2Sb4I4O6,0.025,-0.9,Yes,p2_1/m11,Rectangular (op),3.324,6.727,-85.148,44.759,2.319,AB2C2D3,6
In2O2Br2,0,-1.295,No,pmmn,Rectangular (op),3.324,5.965,-26.715,15.137,3.846,ABC,
Cr2Br2Cl2,0.091,-0.805,Yes,pm11,Rectangular (op),3.34,5.684,-30.389,22.835,2.845,ABC,8
Hg2Bi2F2O4,0.085,-1.176,No,p2_1/m11,Rectangular (op),3.344,4.877,-46.549,33.175,1.414,ABCD2,0
Zn2Sb4I4O6,0.001,-1.081,No,pm2_1n,Rectangular (op),3.35,10.221,-73.953,40.388,2.461,AB2C2D3,0
Sc4O4I4,0,-2.597,No,p2_1/m11,Rectangular (op),3.35,6.469,-76.211,28.169,2.705,ABC,
Hf2N2Cl2,0.004,-1.857,No,pmmn,Rectangular (op),3.352,5.607,-46.427,14.571,4.122,ABC,
Co2I2F2,0.04,-0.922,Yes,pm2_1b,Rectangular (op),3.356,5.336,-28.118,21.253,2.815,ABC,6
In4Se4Cl4,0,-0.815,No,p2_1/b11,Rectangular (op),3.359,4.086,-41.905,57.973,1.628,ABC,0
Zn4I8,0,-0.616,No,pm2_1b,Rectangular (op),3.369,5.26,-23.954,60.406,2.867,AB2,0
